global_step,train_loss,mcc,eval_loss
2000,0.9083251953125,0.6690066975079599,0.92155791015625
4000,0.494384765625,0.7702388926063265,0.5166473958333333
6000,0.10129928588867188,0.8235061475530764,0.3500061767578125
8000,0.11552047729492188,0.8436973511464845,0.30952711588541665
10000,0.42807483673095703,0.8618668109198332,0.2938573252360026
12000,0.27535009384155273,0.8564960942406661,0.3188893913269043
14000,0.019662857055664062,0.8783648314309539,0.2773367764790853
16000,0.012172937393188477,0.8879241150882288,0.25320938250223796
16875,0.6842555999755859,0.8912734213538854,0.25831634572347006
18000,0.005921602249145508,0.8925709394343471,0.2564958512624105
20000,0.012368917465209961,0.8953714820306169,0.2585408973058065
22000,0.009609699249267578,0.897587852935116,0.2372104726791382
24000,0.010688841342926025,0.9050214084689603,0.22534131495157878
26000,0.026283860206604004,0.9046038617099952,0.23364143505096435
28000,0.6209113597869873,0.9070938622570934,0.23002566315333048
30000,0.5349916219711304,0.9094194692135288,0.2153788597424825
32000,0.1472751498222351,0.9101485785368271,0.2194154797554016
33750,0.4120374917984009,0.9128355682780919,0.2074257278442383
34000,0.537417471408844,0.9138174123442633,0.20030048666000366
36000,0.0038971006870269775,0.916627476415737,0.2066070569197337
38000,0.9040195941925049,0.9141342997704013,0.21727355662981668
40000,0.12523192167282104,0.914556981833606,0.1985458596865336
42000,0.02277827262878418,0.9177535566413193,0.2100089676698049
44000,0.6102739572525024,0.9176070694463825,0.20995844511985778
46000,0.013757258653640747,0.9154211551808827,0.20765964638392131
48000,0.45172154903411865,0.9180515483136173,0.21212638403574627
50000,0.003851592540740967,0.919292506005741,0.19553555200894673
50625,0.5966020226478577,0.9163501677833563,0.21231768361727396
52000,0.014348328113555908,0.9150691842318203,0.2260444307645162
54000,0.0009334981441497803,0.9193089942606174,0.21070942916870117
56000,0.008992493152618408,0.921428329708053,0.1975966744105021
58000,0.15340359508991241,0.9182092407168939,0.20870225938955944
60000,0.6369389295578003,0.9192326989228162,0.20632466213703154
62000,0.007216215133666992,0.9212057747275689,0.19379525354703267
64000,0.001474529504776001,0.9154877146151386,0.2162794986963272
66000,0.0019977688789367676,0.9214793913797338,0.200153492808342
67500,0.418734073638916,0.9186895386068396,0.21098229681650799
68000,0.5925918817520142,0.9229109717468085,0.20606859984397888
70000,0.46130138635635376,0.9221009384858221,0.20893710664113363
72000,0.0055547356605529785,0.9246425275414115,0.20101338052749634
74000,0.3574468791484833,0.9205606356651166,0.21916159292062123
