global_step,train_loss,mcc,eval_loss
2000,0.8726806640625,0.6694361114120787,0.9003330729166666
4000,0.354888916015625,0.8609887800245741,0.39188407389322916
6000,0.35693359375,0.8864145496809496,0.23681638997395835
8000,0.3683052062988281,0.915420879873043,0.1845869384765625
10000,1.1035761833190918,0.9243365503744964,0.1754641003926595
12000,0.0058928728103637695,0.9327040567372397,0.15666012598673504
14000,0.3609974980354309,0.9401141228832675,0.14227099135716756
16000,1.5650880336761475,0.944515831571535,0.1484296676158905
16875,0.005133911967277527,0.94400530916613,0.12864087655544282
18000,0.006470322608947754,0.9468115775883846,0.13410535900592804
20000,0.001543000340461731,0.9441328114536265,0.15358684140046439
22000,0.0019754022359848022,0.9501258854037773,0.1324223824183146
24000,0.0009576380252838135,0.9519822920869214,0.11749637767473857
26000,0.5582361221313477,0.9503271136213812,0.13264147050380706
28000,0.0031160712242126465,0.9563175681098772,0.11761644968191783
30000,0.004747733473777771,0.9570078667251986,0.10821289246082307
32000,0.013021484017372131,0.9564207198852525,0.11565398831367493
33750,0.0022837072610855103,0.9590997417361666,0.1144563581387202
34000,0.0016761571168899536,0.9586024496073818,0.11165455077489217
36000,0.013052135705947876,0.9603036400092041,0.10084692777792613
38000,0.0015766918659210205,0.9606301260118848,0.10474182116985321
40000,0.015098169445991516,0.9613081244714472,0.1033244542280833
42000,0.0009817779064178467,0.961628910247753,0.1028155960559845
44000,0.002547338604927063,0.9634047153279041,0.0840401256720225
46000,0.4946097731590271,0.9635429970071047,0.09573630315462749
48000,0.0005085021257400513,0.9633136055227796,0.09680502443313599
50000,0.0068938881158828735,0.9642461333405039,0.095999196545283
50625,0.0036179423332214355,0.9617151436892803,0.10268718951543172
52000,0.0007352530956268311,0.9651003553956524,0.10371190787156423
54000,0.0003992319107055664,0.9646828491405304,0.105077104028066
56000,0.23688246309757233,0.9651999575296457,0.09253322675228119
