global_step,train_loss,mcc,eval_loss
2000,0.99993896484375,0.48575599101036787,0.95611220703125
4000,0.811309814453125,0.6435008847075477,0.6998112955729167
6000,0.41448974609375,0.7048571818291868,0.5130389892578125
8000,0.38933563232421875,0.7452566023181106,0.43533331298828126
10000,0.9188957214355469,0.773116342158857,0.40279364217122393
12000,0.32776832580566406,0.7885745118878594,0.39062859954833984
14000,0.7108840942382812,0.7930482633817902,0.3653905367533366
16000,0.603121280670166,0.8043233738215868,0.36342126312255857
16875,0.35997581481933594,0.8092910867237442,0.34977071151733397
18000,0.49673938751220703,0.812453082051387,0.36626290232340497
20000,1.0007495880126953,0.8136053704090436,0.34142533849080403
22000,0.3940567970275879,0.8173620000439367,0.35707104988098143
24000,0.47081971168518066,0.8197359029066889,0.3370151854197184
26000,0.028324604034423828,0.8245542277791356,0.3336984765370687
28000,0.07186269760131836,0.827433356873179,0.3135895617167155
30000,0.1442251205444336,0.8281917075930072,0.32140053119659423
32000,0.01820850372314453,0.8345026612092228,0.31193606179555255
33750,0.7037343978881836,0.8360813817643488,0.3185689294179281
34000,0.5810408592224121,0.8311184760767366,0.3440902739842733
36000,1.0351508855819702,0.8371044328634845,0.3148898312568665
38000,0.07604825496673584,0.8373286874079069,0.3307419004122416
40000,0.007912099361419678,0.8413552223582986,0.3146338125546773
42000,0.25713276863098145,0.8402802276157012,0.3137831426302592
44000,0.033122897148132324,0.8410081266351054,0.3201597194035848
