global_step,train_loss,mcc,eval_loss
2000,0.92938232421875,0.6400937648974669,0.9050916666666666
4000,0.847015380859375,0.7681214655198222,0.5239884358723959
6000,1.1775283813476562,0.8192018481894068,0.3525797159830729
8000,0.12428474426269531,0.850488225292227,0.2931933614095052
10000,0.20346927642822266,0.8666105778946923,0.2716645573933919
12000,0.2519068717956543,0.8778976464579042,0.2737869478861491
14000,1.498680591583252,0.8841565666709054,0.2613518180847168
16000,0.016750812530517578,0.8915400600148928,0.2555292212168376
16875,0.010035514831542969,0.8979516534327772,0.2420288595835368
18000,0.5282959938049316,0.8913758835349759,0.25818683102925616
20000,0.011323809623718262,0.9038686474674027,0.2276772789001465
22000,0.03367292881011963,0.9075021483601551,0.2255985672632853
24000,0.4336516857147217,0.9087536432745748,0.22743850580851238
26000,0.006538748741149902,0.9102252488570779,0.21637149346669515
28000,0.007392525672912598,0.9148683240026465,0.2084471206029256
30000,0.17494738101959229,0.916065203365463,0.188291002368927
32000,0.5873807668685913,0.9199861269159912,0.1979795957247416
33750,0.00793379545211792,0.92218812644256,0.19650006221135458
34000,0.0067740678787231445,0.9190478057607667,0.21557120310465494
36000,0.14081811904907227,0.9206243104691431,0.19941912218729654
38000,0.0065386295318603516,0.919287337031295,0.1975934197584788
40000,0.021211445331573486,0.9186932659865296,0.19819082883199057
42000,0.04308485984802246,0.9216169699951888,0.20542449007034302
